Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Apr 6, 2023",FRISCH AUF! Göppingen,HSG Wetzlar,26 - 28,26,https://www.daikin-hbl.de/en/match/4c7784a9-3961-11ef-b517-7fa33ac8682b
"Apr 2, 2023",SC DHfK Leipzig,TSV Hannover-Burgdorf,29 - 31,25,https://www.daikin-hbl.de/en/match/4bce6bba-3961-11ef-b8ca-7fa33ac8682b
"Apr 2, 2023",FRISCH AUF! Göppingen,Bergischer HC,37 - 28,25,https://www.daikin-hbl.de/en/match/4bfe4c9f-3961-11ef-9a04-7fa33ac8682b
"Apr 2, 2023",VfL Gummersbach,THW Kiel,26 - 30,25,https://www.daikin-hbl.de/en/match/4c1a3b0f-3961-11ef-add3-7fa33ac8682b
"Apr 2, 2023",Handball Sport Verein Hamburg,TVB Stuttgart,27 - 27,25,https://www.daikin-hbl.de/en/match/4c289dba-3961-11ef-94d1-7fa33ac8682b
"Apr 2, 2023",MT Melsungen,SC Magdeburg,27 - 27,25,https://www.daikin-hbl.de/en/match/4bc0ca39-3961-11ef-ac0d-7fa33ac8682b
"Apr 1, 2023",ASV Hamm-Westfalen,SG Flensburg-Handewitt,29 - 37,25,https://www.daikin-hbl.de/en/match/4c0cb61c-3961-11ef-a0dc-7fa33ac8682b
"Apr 1, 2023",HSG Wetzlar,GWD Minden,25 - 27,25,https://www.daikin-hbl.de/en/match/4bdc8ca8-3961-11ef-b7fa-7fa33ac8682b
"Mar 30, 2023",SC DHfK Leipzig,VfL Gummersbach,30 - 34,19,https://www.daikin-hbl.de/en/match/42350713-3961-11ef-b0ce-1fafd93a56d6
"Mar 30, 2023",TBV Lemgo Lippe,Rhein-Neckar Löwen,33 - 30,25,https://www.daikin-hbl.de/en/match/4beaff97-3961-11ef-b562-7fa33ac8682b
"Mar 30, 2023",TVB Stuttgart,MT Melsungen,23 - 26,26,https://www.daikin-hbl.de/en/match/4c85d5ea-3961-11ef-b1d8-7fa33ac8682b
"Mar 26, 2023",SG Flensburg-Handewitt,TBV Lemgo Lippe,34 - 27,24,https://www.daikin-hbl.de/en/match/4b36461f-3961-11ef-8141-7fa33ac8682b
"Mar 26, 2023",SC Magdeburg,VfL Gummersbach,41 - 29,24,https://www.daikin-hbl.de/en/match/4b46e8c8-3961-11ef-baf1-7fa33ac8682b
"Mar 26, 2023",TSV Hannover-Burgdorf,MT Melsungen,26 - 26,24,https://www.daikin-hbl.de/en/match/4b5690ed-3961-11ef-843f-7fa33ac8682b
"Mar 26, 2023",TVB Stuttgart,HSG Wetzlar,28 - 30,24,https://www.daikin-hbl.de/en/match/4b75cbc9-3961-11ef-a8e9-7fa33ac8682b
"Mar 26, 2023",THW Kiel,Füchse Berlin,36 - 29,24,https://www.daikin-hbl.de/en/match/4b25cab0-3961-11ef-ab10-7fa33ac8682b
"Mar 25, 2023",GWD Minden,FRISCH AUF! Göppingen,27 - 27,24,https://www.daikin-hbl.de/en/match/4ba2644b-3961-11ef-a95f-7fa33ac8682b
"Mar 23, 2023",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,32 - 35,24,https://www.daikin-hbl.de/en/match/4b67a1e6-3961-11ef-841a-7fa33ac8682b
"Mar 23, 2023",Bergischer HC,ASV Hamm-Westfalen,34 - 24,24,https://www.daikin-hbl.de/en/match/4b84cd99-3961-11ef-af61-7fa33ac8682b
"Mar 23, 2023",HC Erlangen,SC DHfK Leipzig,36 - 32,24,https://www.daikin-hbl.de/en/match/4b9312e8-3961-11ef-b8a9-7fa33ac8682b
"Mar 19, 2023",HSG Wetzlar,Bergischer HC,22 - 28,23,https://www.daikin-hbl.de/en/match/44aa3ae9-3961-11ef-ac36-1fafd93a56d6
"Mar 19, 2023",TBV Lemgo Lippe,TSV Hannover-Burgdorf,35 - 30,23,https://www.daikin-hbl.de/en/match/44ba4b89-3961-11ef-93af-1fafd93a56d6
"Mar 19, 2023",ASV Hamm-Westfalen,SC Magdeburg,27 - 36,23,https://www.daikin-hbl.de/en/match/4b0916f1-3961-11ef-ae0b-7fa33ac8682b
"Mar 19, 2023",Handball Sport Verein Hamburg,HC Erlangen,33 - 29,23,https://www.daikin-hbl.de/en/match/4b16efab-3961-11ef-a760-7fa33ac8682b
"Mar 19, 2023",MT Melsungen,THW Kiel,19 - 23,23,https://www.daikin-hbl.de/en/match/4484a705-3961-11ef-b028-1fafd93a56d6
"Mar 18, 2023",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,27 - 27,23,https://www.daikin-hbl.de/en/match/4ae5f8d5-3961-11ef-a35a-7fa33ac8682b
"Mar 16, 2023",TSV Hannover-Burgdorf,SC Magdeburg,34 - 31,12,https://www.daikin-hbl.de/en/match/3e7dbef4-3961-11ef-8e35-1fafd93a56d6
"Mar 16, 2023",Füchse Berlin,VfL Gummersbach,38 - 33,23,https://www.daikin-hbl.de/en/match/447383f4-3961-11ef-bbb2-1fafd93a56d6
"Mar 16, 2023",SC DHfK Leipzig,Rhein-Neckar Löwen,37 - 29,23,https://www.daikin-hbl.de/en/match/449afa0c-3961-11ef-8ff1-1fafd93a56d6
"Mar 16, 2023",GWD Minden,TVB Stuttgart,23 - 29,23,https://www.daikin-hbl.de/en/match/4af9e1cb-3961-11ef-89c0-7fa33ac8682b
"Mar 5, 2023",THW Kiel,SC DHfK Leipzig,31 - 34,22,https://www.daikin-hbl.de/en/match/43dc948c-3961-11ef-bbf4-1fafd93a56d6
"Mar 5, 2023",SG Flensburg-Handewitt,Handball Sport Verein Hamburg,34 - 32,22,https://www.daikin-hbl.de/en/match/43eb25e1-3961-11ef-9b26-1fafd93a56d6
"Mar 5, 2023",TSV Hannover-Burgdorf,ASV Hamm-Westfalen,30 - 26,22,https://www.daikin-hbl.de/en/match/440e1b22-3961-11ef-afcc-1fafd93a56d6
"Mar 5, 2023",HC Erlangen,TBV Lemgo Lippe,31 - 31,22,https://www.daikin-hbl.de/en/match/444bed5d-3961-11ef-8f54-1fafd93a56d6
"Mar 5, 2023",SC Magdeburg,Füchse Berlin,34 - 29,22,https://www.daikin-hbl.de/en/match/43fe3d44-3961-11ef-8428-1fafd93a56d6
"Mar 2, 2023",Rhein-Neckar Löwen,HSG Wetzlar,34 - 24,22,https://www.daikin-hbl.de/en/match/441c5c88-3961-11ef-91f2-1fafd93a56d6
"Mar 2, 2023",TVB Stuttgart,FRISCH AUF! Göppingen,24 - 24,22,https://www.daikin-hbl.de/en/match/442b182e-3961-11ef-ac99-1fafd93a56d6
"Mar 2, 2023",Bergischer HC,GWD Minden,34 - 32,22,https://www.daikin-hbl.de/en/match/4439a947-3961-11ef-9ef2-1fafd93a56d6
"Mar 2, 2023",VfL Gummersbach,MT Melsungen,31 - 23,22,https://www.daikin-hbl.de/en/match/445d032f-3961-11ef-b14f-1fafd93a56d6
"Feb 26, 2023",SC DHfK Leipzig,SC Magdeburg,33 - 32,21,https://www.daikin-hbl.de/en/match/4362fbfb-3961-11ef-a5dc-1fafd93a56d6
"Feb 26, 2023",TBV Lemgo Lippe,THW Kiel,22 - 28,21,https://www.daikin-hbl.de/en/match/4380b2de-3961-11ef-8f98-1fafd93a56d6
"Feb 26, 2023",Bergischer HC,TVB Stuttgart,25 - 26,21,https://www.daikin-hbl.de/en/match/43a0c956-3961-11ef-97af-1fafd93a56d6
"Feb 26, 2023",Füchse Berlin,MT Melsungen,35 - 25,21,https://www.daikin-hbl.de/en/match/4354ba31-3961-11ef-b41e-1fafd93a56d6
"Feb 25, 2023",FRISCH AUF! Göppingen,Rhein-Neckar Löwen,25 - 27,21,https://www.daikin-hbl.de/en/match/4390002b-3961-11ef-ac47-1fafd93a56d6
"Feb 23, 2023",HSG Wetzlar,HC Erlangen,28 - 35,21,https://www.daikin-hbl.de/en/match/43712680-3961-11ef-b0ed-1fafd93a56d6
"Feb 23, 2023",ASV Hamm-Westfalen,VfL Gummersbach,22 - 21,21,https://www.daikin-hbl.de/en/match/43bdd83a-3961-11ef-abc4-1fafd93a56d6
"Feb 23, 2023",Handball Sport Verein Hamburg,TSV Hannover-Burgdorf,32 - 26,21,https://www.daikin-hbl.de/en/match/43cdba6e-3961-11ef-8e81-1fafd93a56d6
"Feb 19, 2023",SG Flensburg-Handewitt,Bergischer HC,30 - 17,20,https://www.daikin-hbl.de/en/match/42dd5efd-3961-11ef-b1c0-1fafd93a56d6
"Feb 19, 2023",SC Magdeburg,Handball Sport Verein Hamburg,32 - 28,20,https://www.daikin-hbl.de/en/match/42ec3efb-3961-11ef-a34c-1fafd93a56d6
"Feb 19, 2023",Rhein-Neckar Löwen,TVB Stuttgart,41 - 27,20,https://www.daikin-hbl.de/en/match/430aa213-3961-11ef-89ed-1fafd93a56d6
"Feb 19, 2023",TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,28 - 24,20,https://www.daikin-hbl.de/en/match/42fa9da8-3961-11ef-908b-1fafd93a56d6
"Feb 18, 2023",THW Kiel,ASV Hamm-Westfalen,40 - 29,20,https://www.daikin-hbl.de/en/match/42cdf0dc-3961-11ef-80dc-1fafd93a56d6
"Feb 18, 2023",Füchse Berlin,HSG Wetzlar,29 - 25,20,https://www.daikin-hbl.de/en/match/43199aea-3961-11ef-a706-1fafd93a56d6
"Feb 16, 2023",MT Melsungen,SC DHfK Leipzig,28 - 29,20,https://www.daikin-hbl.de/en/match/43284b62-3961-11ef-9010-1fafd93a56d6
"Feb 12, 2023",TVB Stuttgart,SG Flensburg-Handewitt,30 - 32,19,https://www.daikin-hbl.de/en/match/427afa2b-3961-11ef-abe4-1fafd93a56d6
"Feb 12, 2023",Bergischer HC,MT Melsungen,28 - 27,19,https://www.daikin-hbl.de/en/match/428dfbf2-3961-11ef-aac4-1fafd93a56d6
"Feb 12, 2023",ASV Hamm-Westfalen,Füchse Berlin,29 - 32,19,https://www.daikin-hbl.de/en/match/42ae39de-3961-11ef-8784-1fafd93a56d6
"Feb 12, 2023",TBV Lemgo Lippe,SC Magdeburg,28 - 34,19,https://www.daikin-hbl.de/en/match/42561e37-3961-11ef-9347-1fafd93a56d6
"Feb 9, 2023",HSG Wetzlar,TSV Hannover-Burgdorf,24 - 31,19,https://www.daikin-hbl.de/en/match/42452585-3961-11ef-a864-1fafd93a56d6
