Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link, victoria_local
"Mar 27, 2025",VfL Gummersbach,HSG Wetzlar,33 - 24,24,https://www.daikin-hbl.de/en/match/69f6bd06-4374-11ef-93b9-a7a6ca9f38f7
"Mar 23, 2025",SC DHfK Leipzig,TBV Lemgo Lippe,26 - 35,23,https://www.daikin-hbl.de/en/match/5fb44eca-4374-11ef-8ded-cd77cb69a9df
"Mar 23, 2025",HSG Wetzlar,FRISCH AUF! Göppingen,30 - 26,23,https://www.daikin-hbl.de/en/match/62958c53-4374-11ef-9ff0-95e83344d76f
"Mar 23, 2025",TVB Stuttgart,ThSV Eisenach,31 - 30,23,https://www.daikin-hbl.de/en/match/64f15a46-4374-11ef-aecc-2b52f9be753d
"Mar 22, 2025",HC Erlangen,VfL Gummersbach,24 - 31,23,https://www.daikin-hbl.de/en/match/607d0eb7-4374-11ef-91fe-8d4449e592cf
"Mar 22, 2025",SG BBM Bietigheim,1. VfL Potsdam,30 - 28,23,https://www.daikin-hbl.de/en/match/610eb7d0-4374-11ef-9c25-95e83344d76f
"Mar 22, 2025",SG Flensburg-Handewitt,THW Kiel,36 - 33,23,https://www.daikin-hbl.de/en/match/617e2d20-4374-11ef-b679-a7a6ca9f38f7
"Mar 21, 2025",SC Magdeburg,Füchse Berlin,30 - 33,23,https://www.daikin-hbl.de/en/match/5ff3e516-4374-11ef-8a2c-cd77cb69a9df
"Mar 20, 2025",Rhein-Neckar Löwen,TSV Hannover-Burgdorf,35 - 36,23,https://www.daikin-hbl.de/en/match/63a97624-4374-11ef-a0a6-a7a6ca9f38f7
"Mar 20, 2025",Handball Sport Verein Hamburg,MT Melsungen,42 - 32,23,https://www.daikin-hbl.de/en/match/64d8df8c-4374-11ef-8d9a-a7a6ca9f38f7
"Mar 9, 2025",TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,33 - 32,22,https://www.daikin-hbl.de/en/match/59cb2273-4374-11ef-9418-2722c3133e8d
"Mar 9, 2025",THW Kiel,Rhein-Neckar Löwen,29 - 24,22,https://www.daikin-hbl.de/en/match/5f07cb24-4374-11ef-a2b0-2722c3133e8d
"Mar 9, 2025",Füchse Berlin,HSG Wetzlar,38 - 29,22,https://www.daikin-hbl.de/en/match/5bd0995e-4374-11ef-9a4c-cd77cb69a9df
"Mar 8, 2025",ThSV Eisenach,SC Magdeburg,26 - 36,22,https://www.daikin-hbl.de/en/match/5dff201f-4374-11ef-9d01-5fab4221e9e9
"Mar 8, 2025",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,27 - 27,22,https://www.daikin-hbl.de/en/match/59f83f95-4374-11ef-994a-5f72580bf97b
"Mar 7, 2025",MT Melsungen,SC DHfK Leipzig,34 - 25,22,https://www.daikin-hbl.de/en/match/5b309cc8-4374-11ef-b7fd-416d1b9fdc63
"Mar 7, 2025",VfL Gummersbach,SG BBM Bietigheim,37 - 27,22,https://www.daikin-hbl.de/en/match/5d181d1e-4374-11ef-82d5-cd77cb69a9df
"Mar 6, 2025",TBV Lemgo Lippe,HC Erlangen,30 - 24,22,https://www.daikin-hbl.de/en/match/5bd0af24-4374-11ef-93f6-95e83344d76f
"Mar 6, 2025",1. VfL Potsdam,TVB Stuttgart,28 - 25,22,https://www.daikin-hbl.de/en/match/5db892b6-4374-11ef-bba1-5f72580bf97b
"Mar 2, 2025",SC Magdeburg,1. VfL Potsdam,25 - 15,21,https://www.daikin-hbl.de/en/match/53c26d60-4374-11ef-96b2-cd77cb69a9df
"Mar 2, 2025",SC DHfK Leipzig,Füchse Berlin,30 - 33,21,https://www.daikin-hbl.de/en/match/533042e0-4374-11ef-a0fe-cd77cb69a9df
"Mar 2, 2025",HC Erlangen,TSV Hannover-Burgdorf,33 - 33,21,https://www.daikin-hbl.de/en/match/54eeac9b-4374-11ef-a92b-1d6cfab56afd
"Mar 1, 2025",SG Flensburg-Handewitt,MT Melsungen,35 - 33,21,https://www.daikin-hbl.de/en/match/55bb128c-4374-11ef-bb12-5f72580bf97b
"Feb 28, 2025",SG BBM Bietigheim,THW Kiel,24 - 39,21,https://www.daikin-hbl.de/en/match/5525a6c1-4374-11ef-b82e-cd77cb69a9df
"Feb 27, 2025",HSG Wetzlar,ThSV Eisenach,30 - 31,21,https://www.daikin-hbl.de/en/match/56efe52c-4374-11ef-b5b5-2722c3133e8d
"Feb 27, 2025",SC DHfK Leipzig,1. VfL Potsdam,32 - 19,19,https://www.daikin-hbl.de/en/match/46b124b5-4374-11ef-b4ee-5fab4221e9e9
