Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"Feb 18, 2024",Rhein-Neckar Löwen,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9d8a09fd-3961-11ef-8c88-2d4c63b0970e
"Feb 17, 2024",Füchse Berlin,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/9d626284-3961-11ef-a9b3-2d4c63b0970e
"Feb 16, 2024",MT Melsungen,Bergischer HC,,,https://www.daikin-hbl.de/en/match/9d14b177-3961-11ef-b32c-2d4c63b0970e
"Feb 16, 2024",HC Erlangen,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/9d505564-3961-11ef-80e3-2d4c63b0970e
"Feb 15, 2024",FRISCH AUF! Göppingen,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/9d3d16af-3961-11ef-94f3-2d4c63b0970e
"Feb 15, 2024",HSG Wetzlar,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/9d77b2a4-3961-11ef-bd6c-2d4c63b0970e
"Feb 11, 2024",Handball Sport Verein Hamburg,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/9c686880-3961-11ef-af56-2d4c63b0970e
"Feb 11, 2024",Bergischer HC,THW Kiel,,,https://www.daikin-hbl.de/en/match/9cc7faa2-3961-11ef-818a-2d4c63b0970e
"Feb 11, 2024",TVB Stuttgart,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/9cee31c1-3961-11ef-861b-2d4c63b0970e
"Feb 11, 2024",TBV Lemgo Lippe,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/9cb577dd-3961-11ef-abf2-2d4c63b0970e
"Feb 11, 2024",SG Flensburg-Handewitt,HC Erlangen,,,https://www.daikin-hbl.de/en/match/9cd9e08e-3961-11ef-9eaa-2d4c63b0970e
"Feb 11, 2024",SC Magdeburg,MT Melsungen,,,https://www.daikin-hbl.de/en/match/9ca27089-3961-11ef-9162-2d4c63b0970e
"Feb 10, 2024",HBW Balingen-Weilstetten,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/9c8f3354-3961-11ef-af95-2d4c63b0970e
"Feb 10, 2024",ThSV Eisenach,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/9d00b30c-3961-11ef-a1d3-2d4c63b0970e
"Feb 8, 2024",Füchse Berlin,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9052ac18-3961-11ef-891f-2d4c63b0970e
"Feb 8, 2024",HC Erlangen,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/9c06a3ac-3961-11ef-bf8a-2d4c63b0970e
