,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
212,23/11/2024,TSV Hannover-Burgdorf,SC Magdeburg,28 - 27,11,,28,27,55,1,0
213,23/11/2024,FRISCH AUF! Göppingen,Rhein-Neckar Löwen,30 - 36,11,,30,36,66,0,1
214,22/11/2024,VfL Gummersbach,THW Kiel,24 - 30,11,,24,30,54,0,0
215,22/11/2024,ThSV Eisenach,MT Melsungen,32 - 31,11,,32,31,63,1,1
216,21/11/2024,SG BBM Bietigheim,SC DHfK Leipzig,28 - 29,11,,28,29,57,0,0
217,18/11/2024,Handball Sport Verein Hamburg,Füchse Berlin,29 - 29,10,,29,29,58,0,0
218,17/11/2024,SC DHfK Leipzig,FRISCH AUF! Göppingen,27 - 25,10,,27,25,52,1,0
219,17/11/2024,HC Erlangen,HSG Wetzlar,22 - 25,10,,22,25,47,0,0
220,17/11/2024,1. VfL Potsdam,Rhein-Neckar Löwen,18 - 25,10,,18,25,43,0,0
221,17/11/2024,THW Kiel,SG Flensburg-Handewitt,33 - 37,10,,33,37,70,0,1
222,16/11/2024,MT Melsungen,SC Magdeburg,31 - 23,10,,31,23,54,1,0
223,16/11/2024,TBV Lemgo Lippe,ThSV Eisenach,31 - 28,10,,31,28,59,1,0
224,16/11/2024,SG BBM Bietigheim,TSV Hannover-Burgdorf,28 - 28,10,,28,28,56,0,0
225,03/11/2024,Füchse Berlin,THW Kiel,35 - 26,9,,35,26,61,1,1
226,03/11/2024,VfL Gummersbach,Handball Sport Verein Hamburg,33 - 29,9,,33,29,62,1,1
227,03/11/2024,SG Flensburg-Handewitt,SC DHfK Leipzig,35 - 29,9,,35,29,64,1,1
228,03/11/2024,SC Magdeburg,TBV Lemgo Lippe,30 - 27,9,,30,27,57,1,0
229,02/11/2024,MT Melsungen,HC Erlangen,32 - 27,9,,32,27,59,1,0
230,01/11/2024,Rhein-Neckar Löwen,ThSV Eisenach,32 - 36,9,,32,36,68,0,1
231,01/11/2024,FRISCH AUF! Göppingen,1. VfL Potsdam,30 - 25,9,,30,25,55,1,0
232,31/10/2024,TSV Hannover-Burgdorf,TVB Stuttgart,33 - 20,9,,33,20,53,1,0
233,31/10/2024,HSG Wetzlar,SG BBM Bietigheim,21 - 26,9,,21,26,47,0,0
234,28/10/2024,ThSV Eisenach,FRISCH AUF! Göppingen,35 - 25,8,,35,25,60,1,0
235,27/10/2024,TVB Stuttgart,SC Magdeburg,25 - 36,8,,25,36,61,0,1
236,27/10/2024,TBV Lemgo Lippe,Rhein-Neckar Löwen,34 - 31,8,,34,31,65,1,1
237,27/10/2024,SG BBM Bietigheim,Füchse Berlin,24 - 38,8,,24,38,62,0,1
