,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
825,10/11/2022,HSG Wetzlar,SC DHfK Leipzig,24 - 25,11,,24,25,49,0,0
826,10/11/2022,HC Erlangen,Handball Sport Verein Hamburg,35 - 29,11,,35,29,64,1,1
827,09/11/2022,FRISCH AUF! Göppingen,MT Melsungen,23 - 29,11,,23,29,52,0,0
828,09/11/2022,SC Magdeburg,Rhein-Neckar Löwen,32 - 32,11,,32,32,64,0,1
829,08/11/2022,ASV Hamm-Westfalen,THW Kiel,24 - 37,11,,24,37,61,0,1
830,06/11/2022,SC DHfK Leipzig,FRISCH AUF! Göppingen,25 - 26,10,,25,26,51,0,0
831,06/11/2022,Bergischer HC,HSG Wetzlar,24 - 23,10,,24,23,47,1,0
832,06/11/2022,Handball Sport Verein Hamburg,Rhein-Neckar Löwen,40 - 37,10,,40,37,77,1,1
833,06/11/2022,GWD Minden,Füchse Berlin,32 - 27,10,,32,27,59,1,0
834,05/11/2022,THW Kiel,TBV Lemgo Lippe,32 - 33,10,,32,33,65,0,1
835,03/11/2022,SG Flensburg-Handewitt,ASV Hamm-Westfalen,37 - 23,10,,37,23,60,1,0
836,03/11/2022,TSV Hannover-Burgdorf,HC Erlangen,29 - 28,10,,29,28,57,1,0
837,03/11/2022,MT Melsungen,VfL Gummersbach,28 - 22,10,,28,22,50,1,0
838,30/10/2022,SC Magdeburg,SC DHfK Leipzig,32 - 24,9,,32,24,56,1,0
839,30/10/2022,Rhein-Neckar Löwen,TSV Hannover-Burgdorf,32 - 31,9,,32,31,63,1,1
840,30/10/2022,TBV Lemgo Lippe,Handball Sport Verein Hamburg,28 - 32,9,,28,32,60,0,0
841,30/10/2022,HSG Wetzlar,SG Flensburg-Handewitt,22 - 27,9,,22,27,49,0,0
842,29/10/2022,Füchse Berlin,Bergischer HC,29 - 27,9,,29,27,56,1,0
843,27/10/2022,FRISCH AUF! Göppingen,TVB Stuttgart,24 - 25,9,,24,25,49,0,0
844,27/10/2022,ASV Hamm-Westfalen,MT Melsungen,18 - 28,9,,18,28,46,0,0
845,27/10/2022,VfL Gummersbach,GWD Minden,26 - 22,9,,26,22,48,1,0
846,23/10/2022,THW Kiel,Rhein-Neckar Löwen,32 - 29,8,,32,29,61,1,1
847,23/10/2022,MT Melsungen,HSG Wetzlar,21 - 19,8,,21,19,40,1,0
848,23/10/2022,SC DHfK Leipzig,Füchse Berlin,26 - 31,8,,26,31,57,0,0
849,23/10/2022,TVB Stuttgart,ASV Hamm-Westfalen,29 - 20,8,,29,20,49,1,0
850,23/10/2022,Handball Sport Verein Hamburg,VfL Gummersbach,34 - 31,8,,34,31,65,1,1
851,22/10/2022,SG Flensburg-Handewitt,FRISCH AUF! Göppingen,27 - 24,8,,27,24,51,1,0
852,22/10/2022,GWD Minden,HC Erlangen,25 - 32,8,,25,32,57,0,0
853,22/10/2022,TSV Hannover-Burgdorf,TBV Lemgo Lippe,29 - 25,8,,29,25,54,1,0
854,09/10/2022,TBV Lemgo Lippe,SG Flensburg-Handewitt,26 - 21,7,,26,21,47,1,0
855,09/10/2022,Füchse Berlin,THW Kiel,34 - 26,7,,34,26,60,1,0
856,09/10/2022,VfL Gummersbach,SC DHfK Leipzig,36 - 36,7,,36,36,72,0,1
857,09/10/2022,SC Magdeburg,MT Melsungen,27 - 23,7,,27,23,50,1,0
858,08/10/2022,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,32 - 28,7,,32,28,60,1,0
859,06/10/2022,HC Erlangen,Bergischer HC,30 - 27,7,,30,27,57,1,0
860,06/10/2022,HSG Wetzlar,TVB Stuttgart,32 - 24,7,,32,24,56,1,0
861,06/10/2022,Rhein-Neckar Löwen,GWD Minden,37 - 25,7,,37,25,62,1,1
862,06/10/2022,TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,28 - 27,7,,28,27,55,1,0
863,02/10/2022,THW Kiel,Handball Sport Verein Hamburg,40 - 28,6,,40,28,68,1,1
864,02/10/2022,FRISCH AUF! Göppingen,VfL Gummersbach,29 - 28,6,,29,28,57,1,0
865,02/10/2022,TVB Stuttgart,Bergischer HC,27 - 26,11,,27,26,53,1,0
866,02/10/2022,MT Melsungen,Füchse Berlin,29 - 32,6,,29,32,61,0,1
867,01/10/2022,SG Flensburg-Handewitt,SC Magdeburg,35 - 34,6,,35,34,69,1,1
868,29/09/2022,TVB Stuttgart,TBV Lemgo Lippe,32 - 28,6,,32,28,60,1,0
869,29/09/2022,Bergischer HC,Rhein-Neckar Löwen,26 - 27,6,,26,27,53,0,0
870,29/09/2022,GWD Minden,TSV Hannover-Burgdorf,34 - 35,6,,34,35,69,0,1
871,29/09/2022,ASV Hamm-Westfalen,HSG Wetzlar,23 - 29,6,,23,29,52,0,0
872,25/09/2022,TSV Hannover-Burgdorf,THW Kiel,27 - 29,5,,27,29,56,0,0
873,25/09/2022,HC Erlangen,MT Melsungen,34 - 34,5,,34,34,68,0,1
874,25/09/2022,TBV Lemgo Lippe,SC DHfK Leipzig,29 - 29,5,,29,29,58,0,0
875,25/09/2022,SC Magdeburg,GWD Minden,39 - 25,5,,39,25,64,1,1
876,24/09/2022,HSG Wetzlar,FRISCH AUF! Göppingen,25 - 25,5,,25,25,50,0,0
877,24/09/2022,Rhein-Neckar Löwen,SG Flensburg-Handewitt,28 - 27,5,,28,27,55,1,0
878,22/09/2022,SC DHfK Leipzig,HC Erlangen,32 - 29,6,,32,29,61,1,1
879,22/09/2022,VfL Gummersbach,TVB Stuttgart,29 - 24,5,,29,24,53,1,0
880,22/09/2022,Handball Sport Verein Hamburg,Bergischer HC,33 - 23,5,,33,23,56,1,0
881,22/09/2022,Füchse Berlin,ASV Hamm-Westfalen,37 - 26,5,,37,26,63,1,1
882,18/09/2022,MT Melsungen,TSV Hannover-Burgdorf,28 - 31,4,,28,31,59,0,0
883,18/09/2022,SC DHfK Leipzig,Handball Sport Verein Hamburg,22 - 23,4,,22,23,45,0,0
884,18/09/2022,HSG Wetzlar,VfL Gummersbach,29 - 30,4,,29,30,59,0,0
885,18/09/2022,GWD Minden,THW Kiel,18 - 34,4,,18,34,52,0,0
886,18/09/2022,FRISCH AUF! Göppingen,SC Magdeburg,26 - 31,4,,26,31,57,0,0
887,17/09/2022,TVB Stuttgart,Rhein-Neckar Löwen,30 - 43,4,,30,43,73,0,1
888,17/09/2022,ASV Hamm-Westfalen,HC Erlangen,29 - 32,4,,29,32,61,0,1
889,15/09/2022,Bergischer HC,TBV Lemgo Lippe,32 - 28,4,,32,28,60,1,0
890,15/09/2022,Rhein-Neckar Löwen,SC DHfK Leipzig,30 - 24,3,,30,24,54,1,0
891,15/09/2022,SG Flensburg-Handewitt,Füchse Berlin,31 - 31,4,,31,31,62,0,1
892,11/09/2022,VfL Gummersbach,ASV Hamm-Westfalen,29 - 28,3,,29,28,57,1,0
893,11/09/2022,THW Kiel,Bergischer HC,35 - 29,3,,35,29,64,1,1
894,11/09/2022,Handball Sport Verein Hamburg,GWD Minden,27 - 21,3,,27,21,48,1,0
895,11/09/2022,SC Magdeburg,HSG Wetzlar,32 - 28,3,,32,28,60,1,0
896,11/09/2022,HC Erlangen,FRISCH AUF! Göppingen,34 - 28,3,,34,28,62,1,1
897,10/09/2022,Füchse Berlin,TVB Stuttgart,31 - 21,3,,31,21,52,1,0
898,10/09/2022,TBV Lemgo Lippe,MT Melsungen,28 - 28,3,,28,28,56,0,0
899,10/09/2022,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,25 - 35,3,,25,35,60,0,0
900,08/09/2022,VfL Gummersbach,SC Magdeburg,28 - 30,2,,28,30,58,0,0
901,08/09/2022,ASV Hamm-Westfalen,Rhein-Neckar Löwen,30 - 35,2,,30,35,65,0,1
902,08/09/2022,MT Melsungen,Handball Sport Verein Hamburg,30 - 27,2,,30,27,57,1,0
903,08/09/2022,TVB Stuttgart,HC Erlangen,27 - 29,2,,27,29,56,0,0
904,07/09/2022,FRISCH AUF! Göppingen,TBV Lemgo Lippe,34 - 31,2,,34,31,65,1,1
905,07/09/2022,SC DHfK Leipzig,THW Kiel,22 - 32,2,,22,32,54,0,0
906,07/09/2022,HSG Wetzlar,Füchse Berlin,25 - 37,2,,25,37,62,0,1
907,07/09/2022,Bergischer HC,TSV Hannover-Burgdorf,22 - 23,2,,22,23,45,0,0
908,07/09/2022,SG Flensburg-Handewitt,GWD Minden,36 - 23,2,,36,23,59,1,0
909,04/09/2022,Füchse Berlin,FRISCH AUF! Göppingen,34 - 27,1,,34,27,61,1,1
910,04/09/2022,GWD Minden,Bergischer HC,25 - 28,1,,25,28,53,0,0
911,04/09/2022,SC Magdeburg,ASV Hamm-Westfalen,31 - 23,1,,31,23,54,1,0
912,04/09/2022,THW Kiel,TVB Stuttgart,36 - 23,1,,36,23,59,1,0
913,03/09/2022,Rhein-Neckar Löwen,MT Melsungen,36 - 25,1,,36,25,61,1,1
914,01/09/2022,TSV Hannover-Burgdorf,SC DHfK Leipzig,25 - 22,1,,25,22,47,1,0
915,01/09/2022,TBV Lemgo Lippe,VfL Gummersbach,26 - 30,1,,26,30,56,0,0
916,01/09/2022,HC Erlangen,HSG Wetzlar,31 - 27,1,,31,27,58,1,0
917,01/09/2022,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,30 - 31,1,,30,31,61,0,1
