Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,id_partido,goles_local,goles_visitante,victoria_local
2024-03-24,VfL Gummersbach,TVB Stuttgart,TVB Stuttgart,visitante,https://www.daikin-hbl.de/en/match/a08bd7b5-3961-11ef-9c29-2d4c63b0970e,273.0,27.0,624.0,22.0,2.0,25.0,8.0,1.0,2.0,2.0,13.0,0.0,28.0,9.0,44.0,32.0,1.0,100.0,8.0,42.0,0.0,1.0,0.0,1.0,533,35.0,29.0,
2024-03-28,TVB Stuttgart,Bergischer HC,Bergischer HC,visitante,https://www.daikin-hbl.de/en/match/a1298a73-3961-11ef-aa91-2d4c63b0970e,201.0,26.0,518.0,2.0,4.0,22.0,10.0,1.0,5.0,4.0,12.0,0.0,13.0,11.0,29.0,27.0,1.0,25.0,10.0,29.0,0.0,0.0,0.0,0.0,535,20.0,26.0,
2024-03-28,TVB Stuttgart,Bergischer HC,TVB Stuttgart,local,https://www.daikin-hbl.de/en/match/a1298a73-3961-11ef-aa91-2d4c63b0970e,239.0,20.0,436.0,2.0,3.0,17.0,6.0,1.0,1.0,2.0,7.0,0.0,28.0,13.0,63.0,25.0,1.0,33.0,12.0,64.0,0.0,0.0,0.0,0.0,535,20.0,26.0,0.0
2024-03-30,HBW Balingen-Weilstetten,SC DHfK Leipzig,SC DHfK Leipzig,visitante,https://www.daikin-hbl.de/en/match/a0b1493c-3961-11ef-b503-2d4c63b0970e,293.0,25.0,509.0,0.0,4.0,21.0,8.0,1.0,0.0,2.0,9.0,0.0,13.0,21.0,57.0,17.0,2.0,40.0,19.0,59.0,0.0,0.0,0.0,0.0,536,17.0,25.0,
2024-03-30,HBW Balingen-Weilstetten,SC DHfK Leipzig,HBW Balingen-Weilstetten,local,https://www.daikin-hbl.de/en/match/a0b1493c-3961-11ef-b503-2d4c63b0970e,196.0,17.0,360.0,7.0,4.0,13.0,5.0,3.0,3.0,1.0,14.0,0.0,28.0,20.0,45.0,25.0,0.0,0.0,20.0,49.0,0.0,0.0,0.0,0.0,536,17.0,25.0,0.0
2024-03-30,SG Flensburg-Handewitt,TSV Hannover-Burgdorf,TSV Hannover-Burgdorf,visitante,https://www.daikin-hbl.de/en/match/a103c25d-3961-11ef-985e-2d4c63b0970e,457.0,28.0,513.0,18.0,2.0,26.0,10.0,1.0,3.0,7.0,10.0,0.0,37.0,12.0,31.0,28.0,2.0,50.0,10.0,29.0,0.0,0.0,0.0,0.0,537,30.0,28.0,
2024-03-30,SG Flensburg-Handewitt,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,local,https://www.daikin-hbl.de/en/match/a103c25d-3961-11ef-985e-2d4c63b0970e,360.0,30.0,585.0,15.0,3.0,27.0,13.0,1.0,5.0,4.0,9.0,0.0,21.0,11.0,29.0,27.0,0.0,0.0,11.0,31.0,1.0,0.0,0.0,0.0,537,30.0,28.0,1.0
2024-03-31,Füchse Berlin,HSG Wetzlar,HSG Wetzlar,visitante,https://www.daikin-hbl.de/en/match/a0f11ff1-3961-11ef-bb9e-2d4c63b0970e,383.0,30.0,629.0,4.0,2.0,28.0,9.0,0.0,1.0,7.0,15.0,0.0,12.0,13.0,31.0,31.0,0.0,0.0,13.0,34.0,0.0,0.0,0.0,0.0,538,32.0,28.0,
2024-03-31,TBV Lemgo Lippe,THW Kiel,TBV Lemgo Lippe,local,https://www.daikin-hbl.de/en/match/a0db0c60-3961-11ef-88de-2d4c63b0970e,171.0,27.0,570.0,6.0,2.0,25.0,14.0,4.0,1.0,3.0,11.0,0.0,119.0,8.0,39.0,26.0,0.0,0.0,8.0,41.0,0.0,0.0,0.0,0.0,539,27.0,30.0,0.0
2024-03-31,TBV Lemgo Lippe,THW Kiel,THW Kiel,visitante,https://www.daikin-hbl.de/en/match/a0db0c60-3961-11ef-88de-2d4c63b0970e,332.0,28.0,514.0,9.0,2.0,26.0,12.0,3.0,0.0,2.0,5.0,0.0,50.0,10.0,59.0,27.0,1.0,100.0,9.0,64.0,0.0,0.0,0.0,0.0,539,27.0,30.0,
